iter	RMSE
0	969.132751
1	950.6041369
2	932.8664951
3	915.6381939
4	899.4074998
5	883.3532203
6	868.0904511
7	853.3772414
8	839.5452439
9	826.2252335
10	813.3036257
11	801.0876722
12	789.6921863
13	778.3414267
14	767.5182081
15	756.9852275
16	747.4972969
17	738.0625459
18	729.2191768
19	720.6164946
20	712.0260037
21	704.4605068
22	697.1144218
23	689.9723699
24	682.8147768
25	676.1161851
26	669.8568203
27	663.7554967
28	658.2383344
29	652.7390777
30	647.8289593
31	642.8955778
32	638.3347395
33	633.8616627
34	629.707959
35	625.4519025
36	621.4270866
37	617.8238
38	614.1621062
39	610.9570615
40	607.7026463
41	604.6780956
42	601.7593626
43	599.2151439
44	596.6202668
45	594.1507417
46	591.7675532
47	589.6313897
48	587.3434643
49	585.2692773
50	583.2766454
51	581.4157968
52	579.5501918
53	578.0648743
54	574.9870014
55	571.9456176
56	569.0591478
57	566.5660405
58	563.8137931
59	561.531426
60	558.9461942
61	556.8421461
62	554.6238429
63	552.744247
64	550.7515624
65	548.9982741
66	547.0746991
67	545.3425726
68	543.5367964
69	542.406592
70	540.8652958
71	539.6731872
72	538.4442179
73	537.4344269
74	536.1848259
75	535.1673638
76	533.8465191
77	533.0362747
78	531.9973912
79	530.9066588
80	529.9524341
81	529.1519654
82	528.4473026
83	527.3884201
84	526.94902
85	526.2080291
86	525.2277795
87	524.5183917
88	523.580145
89	522.7370911
90	522.1302526
91	521.4496169
92	521.1174141
93	520.7139472
94	520.1217181
95	519.6503119
96	519.0918048
97	518.4978176
98	518.184244
99	517.9606453
100	517.5569815
101	517.2378363
102	516.8083933
103	516.2821689
104	515.887859
105	515.5729316
106	515.2262971
107	514.9727525
108	514.6694224
109	514.2902433
110	513.841069
111	513.3071441
112	512.7390713
113	512.6087958
114	512.4241917
115	512.0387704
116	511.6076266
117	511.3183827
118	511.0581489
119	510.8968866
120	510.8185118
121	510.6638831
122	510.402134
123	509.9880117
124	509.8405837
125	509.646385
126	509.4390842
127	509.3456385
128	509.1609461
129	509.0395964
130	508.666319
131	508.3457562
132	508.2142262
133	508.0311284
134	507.8448821
135	507.4642734
136	507.1831026
137	507.149844
138	506.7904049
139	506.6242687
140	506.2579071
141	506.1260074
142	506.0420708
143	505.9647623
144	505.7146183
145	505.2953969
146	505.199392
147	505.1742511
148	505.1146331
149	504.7995231
150	504.4972915
151	504.3716773
152	504.3341645
153	504.1244542
154	504.1077659
155	503.945534
156	503.6018154
157	503.4748571
158	503.407394
159	503.3413799
160	503.2593997
161	502.965295
162	502.9526378
163	502.908891
164	502.7875745
165	502.7125086
166	502.6524437
167	502.5457626
168	502.5209943
169	502.2686488
170	502.1713423
171	502.1222825
172	501.805315
173	501.5144019
174	501.5138358
175	501.2893782
176	501.2861758
177	501.1435326
178	501.1302912
179	500.9879558
180	500.9012293
181	500.5017213
182	500.3804397
183	500.1204421
184	500.0189699
185	499.916468
186	499.8834777
187	499.7865451
188	499.5211351
189	499.4160146
190	499.3409272
191	499.1419455
192	499.1417517
193	499.140572
194	499.1404004
195	499.1402389
196	499.0834186
197	499.0832758
198	499.0370109
199	499.0306434
200	499.0305246
201	498.866652
202	498.8665464
203	498.8664471
204	498.8657096
205	498.8656216
206	498.73794
207	498.7264019
208	498.1375514
209	498.1374815
210	498.1370833
211	498.1370214
212	498.0527206
213	498.0518979
214	497.9916301
215	497.9915814
216	497.8380716
217	497.7074438
218	497.6588533
219	497.6588148
220	497.6587582
221	497.025943
222	497.0256631
223	496.9777167
224	496.9774277
225	496.9774005
226	496.9606933
