iter	Passed	Remaining
0	31	155702
1	59	149524
2	84	140867
3	110	137704
4	164	163969
5	189	157424
6	213	152061
7	238	149061
8	263	146362
9	289	144305
10	314	142725
11	339	140923
12	363	139493
13	393	140220
14	436	145050
15	485	151202
16	519	152405
17	544	150808
18	569	149282
19	595	148389
20	618	146675
21	640	144967
22	660	142869
23	678	140737
24	700	139427
25	724	138689
26	744	137178
27	763	135627
28	781	133923
29	798	132300
30	816	130877
31	835	129697
32	852	128330
33	877	128231
34	894	126951
35	927	127853
36	952	127809
37	976	127501
38	1006	128059
39	1033	128125
40	1061	128407
41	1084	128073
42	1102	127119
43	1118	125973
44	1151	126743
45	1173	126411
46	1191	125550
47	1210	124843
48	1228	124119
49	1245	123318
50	1263	122618
51	1282	122051
52	1303	121695
53	1322	121134
54	1341	120642
55	1371	121042
56	1395	121037
57	1415	120621
58	1434	120128
59	1453	119664
60	1480	119843
61	1510	120286
62	1539	120611
63	1561	120429
64	1585	120398
65	1605	120006
66	1629	119966
67	1647	119491
68	1665	118997
69	1676	118047
70	1692	117484
71	1704	116674
72	1720	116135
73	1733	115366
74	1750	114973
75	1778	115220
76	1817	116194
77	1852	116909
78	1879	117100
79	1898	116766
80	1924	116886
81	1944	116611
82	1961	116212
83	1984	116146
84	1996	115459
85	2022	115581
86	2051	115869
87	2073	115754
88	2093	115530
89	2114	115359
90	2132	115015
91	2152	114824
92	2162	114115
93	2176	113586
94	2192	113211
95	2209	112857
96	2231	112779
97	2253	112700
98	2271	112473
99	2289	112203
100	2308	111950
101	2324	111615
102	2342	111366
103	2359	111100
104	2385	111226
105	2411	111332
106	2429	111091
107	2456	111270
108	2474	111042
109	2493	110860
110	2510	110576
111	2530	110422
112	2548	110216
113	2559	109686
114	2575	109418
115	2605	109715
116	2631	109818
117	2658	110004
118	2688	110262
119	2711	110276
120	2722	109782
121	2739	109541
122	2756	109290
123	2774	109091
124	2790	108836
125	2807	108598
126	2825	108407
127	2837	108007
128	2854	107771
129	2871	107574
130	2895	107608
131	2920	107716
132	2939	107571
133	2963	107632
134	2982	107488
135	3000	107326
136	3016	107080
137	3026	106645
138	3042	106409
139	3059	106211
140	3077	106038
141	3094	105875
142	3117	105891
143	3137	105793
144	3157	105722
145	3177	105649
146	3200	105652
147	3212	105322
148	3230	105172
149	3250	105098
150	3268	104961
151	3287	104853
152	3312	104941
153	3335	104968
154	3349	104694
155	3378	104916
156	3410	105212
157	3433	105210
158	3452	105102
159	3468	104930
160	3485	104753
161	3505	104682
162	3521	104511
163	3541	104433
164	3563	104416
165	3580	104256
166	3596	104083
167	3608	103792
168	3625	103626
169	3643	103505
170	3660	103360
171	3672	103086
172	3695	103101
173	3713	103006
