id,forecastVolum
1,226
2,294
3,140
4,402
5,408
6,244
7,604
8,167
9,1367
10,351
11,1130
12,190
13,296
14,412
15,899
16,540
17,312
18,252
19,982
20,150
21,251
22,267
23,453
24,356
25,183
26,444
27,1326
28,362
29,1837
30,409
31,2034
32,1055
33,1689
34,489
35,855
36,1361
37,1831
38,993
39,967
40,978
41,980
42,242
43,489
44,720
45,154
46,134
47,104
48,595
49,455
50,200
51,343
52,131
53,1159
54,113
55,527
56,154
57,355
58,268
59,386
60,199
61,201
62,155
63,592
64,113
65,155
66,105
67,164
68,207
69,117
70,156
71,538
72,243
73,585
74,142
75,1420
76,412
77,1196
78,277
79,552
80,609
81,1255
82,616
83,557
84,562
85,562
86,123
87,165
88,118
89,314
90,1454
91,538
92,299
93,2412
94,1507
95,2197
96,1457
97,2281
98,1484
99,1940
100,1394
101,2473
102,2466
103,2130
104,1507
105,1651
106,1390
107,1395
108,314
109,1395
110,1426
111,354
112,491
113,656
114,283
115,2233
116,1369
117,2114
118,706
119,2202
120,1367
121,1981
122,864
123,2288
124,2277
125,722
126,1368
127,1494
128,363
129,361
130,691
131,595
132,661
133,964
134,157
135,128
136,852
137,292
138,278
139,869
140,156
141,966
142,138
143,1110
144,178
145,437
146,536
147,680
148,225
149,228
150,179
151,319
152,138
153,240
154,130
155,482
156,119
157,92
158,150
159,278
160,468
161,453
162,117
163,282
164,100
165,965
166,140
167,208
168,239
169,763
170,235
171,217
172,142
173,139
174,100
175,141
176,94
177,1015
178,458
179,364
180,765
181,1394
182,1054
183,1679
184,494
185,1874
186,345
187,1557
188,1015
189,1457
190,1447
191,1706
192,1053
193,1036
194,535
195,436
196,387
197,478
198,215
199,1166
200,321
201,326
202,113
203,2031
204,1244
205,2002
206,576
207,2087
208,610
209,1801
210,1166
211,2076
212,2067
213,1927
214,1243
215,1345
216,773
217,558
218,390
219,599
220,187
221,204
222,253
223,210
224,451
225,1108
226,944
227,1397
228,513
229,917
230,511
231,1388
232,895
233,1152
234,1142
235,1410
236,770
237,946
238,605
239,248
240,329
241,898
242,157
243,182
244,343
245,247
246,175
247,950
248,437
249,1240
250,524
251,910
252,314
253,782
254,353
255,985
256,975
257,690
258,454
259,681
260,235
261,283
262,187
263,809
264,179
265,267
266,581
267,410
268,252
269,1161
270,1005
271,1377
272,535
273,910
274,461
275,1431
276,788
277,1215
278,1202
279,1400
280,1003
281,823
282,458
283,358
284,332
285,531
286,542
287,488
288,1019
289,462
290,535
291,2783
292,1665
293,2242
294,582
295,2198
296,597
297,2960
298,1147
299,2848
300,2853
301,2177
302,1652
303,1836
304,1137
305,1135
306,888
307,672
308,828
309,958
310,512
311,536
312,961
313,1165
314,1009
315,1338
316,994
317,349
318,223
319,1399
320,400
321,1219
322,1206
323,769
324,434
325,575
326,307
327,255
328,554
329,627
330,211
331,197
332,1310
333,1247
334,412
335,2188
336,607
337,2073
338,1315
339,2161
340,542
341,1840
342,342
343,2241
344,2232
345,1973
